"004","6","2837","3.0","21.0","15.0","0.0","18.0","0.0"
"004","6","2838","14.0","5.0","0.0","0.0","46.0","1.0"
"004","6","2839","16.0","0.0","0.0","0.0","1.0","0.0"
"004","6","2840","2.0","7.0","20.0","0.0","2.0","0.0"
"004","6","2841","8.0","7.0","21.0","0.0","2.0","0.0"
"004","6","2842","16.0","12.0","13.0","0.0","19.0","0.0"
"004","6","2843","2.0","2.0","18.0","4.0","5.0","0.0"
"004","6","2844","0.0","4.0","2.0","0.0","20.0","11.0"
"004","6","2845","6.0","9.0","1.0","0.0","6.0","0.0"
"004","6","2846","9.0","11.0","29.0","11.0","9.0","0.0"
"004","6","2847","2.0","10.0","21.0","0.0","5.0","0.0"
"004","6","2848","9.0","7.0","41.0","11.0","1.0","0.0"
"006","6","2849","20.0","17.0","4.0","146.0","69.0","76.0"
"006","6","2850","37.0","30.0","21.0","84.0","95.0","123.0"
"006","6","2851","20.0","13.0","17.0","26.0","43.0","5.0"
"006","6","2852","67.0","102.0","133.0","65.0","34.0","42.0"
"006","6","2853","1.0","110.0","5.0","31.0","45.0","78.0"
"006","6","2854","28.0","71.0","18.0","88.0","4.0","26.0"
"006","6","2855","93.0","120.0","57.0","42.0","33.0","15.0"
"006","6","2856","0.0","63.0","5.0","38.0","76.0","89.0"
"006","6","2857","53.0","5.0","24.0","74.0","109.0","99.0"
"006","6","2858","35.0","89.0","85.0","65.0","81.0","20.0"
"006","6","2859","9.0","27.0","17.0","19.0","28.0","46.0"
"006","6","2860","50.0","43.0","0.0","94.0","145.0","152.0"
"006","6","2861","24.0","38.0","21.0","49.0","42.0","24.0"
"006","6","2862","3.0","79.0","121.0","66.0","50.0","6.0"
"006","6","2863","31.0","14.0","16.0","70.0","44.0","57.0"
"006","6","2864","12.0","37.0","17.0","72.0","64.0","105.0"
"006","6","2865","3.0","81.0","2.0","42.0","54.0","15.0"
"006","6","2866","55.0","7.0","7.0","136.0","113.0","45.0"
"006","6","2867","20.0","53.0","9.0","59.0","43.0","51.0"
"006","6","2868","37.0","169.0","93.0","47.0","26.0","22.0"
"006","6","2869","73.0","7.0","21.0","64.0","23.0","15.0"
"006","6","2870","10.0","32.0","0.0","94.0","46.0","36.0"
"006","6","2871","0.0","83.0","9.0","56.0","103.0","140.0"
"009","6","2872","18.0","24.0","37.0","16.0","21.0","15.0"
"009","6","2873","56.0","4.0","60.0","29.0","5.0","8.0"
"009","6","2874","20.0","43.0","124.0","21.0","26.0","11.0"
"009","6","2875","52.0","24.0","5.0","41.0","37.0","6.0"
"009","6","2876","55.0","4.0","37.0","29.0","6.0","3.0"
"009","6","2877","42.0","11.0","60.0","19.0","113.0","96.0"
"009","6","2878","51.0","50.0","48.0","16.0","27.0","6.0"
"009","6","2879","51.0","76.0","116.0","13.0","68.0","0.0"
"009","6","2880","97.0","27.0","100.0","142.0","96.0","19.0"
"009","6","2881","77.0","42.0","114.0","41.0","41.0","39.0"
"009","6","2882","58.0","38.0","50.0","99.0","125.0","56.0"
"009","6","2883","50.0","83.0","145.0","163.0","223.0","83.0"
"009","6","2884","46.0","55.0","129.0","47.0","49.0","22.0"
"009","6","2885","46.0","81.0","126.0","87.0","113.0","40.0"
"009","6","2886","71.0","35.0","117.0","136.0","161.0","128.0"
"009","6","2887","38.0","2.0","51.0","47.0","28.0","14.0"
"009","6","2888","63.0","44.0","149.0","209.0","73.0","47.0"
"009","6","2889","32.0","164.0","93.0","67.0","42.0","62.0"
"009","6","2890","35.0","67.0","100.0","59.0","119.0","80.0"
"009","6","2891","34.0","22.0","108.0","49.0","69.0","73.0"
"009","6","2892","53.0","149.0","108.0","6.0","64.0","37.0"
"009","6","2893","38.0","88.0","149.0","108.0","82.0","128.0"
"009","6","2894","72.0","90.0","118.0","89.0","106.0","100.0"
"009","6","2895","61.0","37.0","212.0","96.0","209.0","75.0"
"012","6","2896","0.0","0.0","126.0","205.0","127.0","18.0"
"012","6","2897","0.0","2.0","215.0","184.0","181.0","0.0"
"012","6","2898","0.0","82.0","198.0","321.0","127.0","0.0"
"012","6","2899","0.0","125.0","244.0","184.0","207.0","0.0"
"012","6","2900","0.0","65.0","183.0","64.0","79.0","0.0"
"012","6","2901","0.0","56.0","205.0","163.0","176.0","0.0"
"012","6","2902","0.0","46.0","201.0","100.0","106.0","0.0"
"012","6","2903","0.0","156.0","236.0","269.0","129.0","0.0"
"012","6","2904","0.0","93.0","206.0","92.0","140.0","0.0"
"012","6","2905","0.0","83.0","200.0","191.0","217.0","0.0"
"012","6","2906","0.0","81.0","221.0","77.0","272.0","0.0"
"012","6","2907","0.0","109.0","229.0","307.0","296.0","0.0"
"012","6","2908","0.0","0.0","87.0","71.0","60.0","1.0"
"012","6","2909","6.0","154.0","238.0","136.0","19.0","0.0"
"012","6","2910","0.0","96.0","214.0","169.0","111.0","0.0"
"012","6","2911","0.0","54.0","175.0","90.0","43.0","0.0"
"012","6","2912","0.0","54.0","202.0","149.0","126.0","0.0"
"012","6","2913","0.0","205.0","234.0","187.0","28.0","0.0"
"012","6","2914","0.0","164.0","211.0","72.0","82.0","0.0"
"012","6","2915","0.0","155.0","242.0","231.0","57.0","0.0"
